Genus,Species,Family,Habitat,Length_cm,measurement,Trophic_lvl,Status,Lake,Region
Neolamprologus,multifasciatus,Cichlidae,benthopelagic,4,TL,3.4,endemic,Tanganyika,east central africa
Neolamprologus,mustax,Cichlidae,benthopelagic,9,TL,3.5,endemic,Tanganyika,east central africa
Neolamprologus,niger,Cichlidae,benthopelagic,9,TL,3.6,endemic,Tanganyika,east central africa
Neolamprologus,nigriventris,Cichlidae,benthopelagic,10.3,TL,3.5,endemic,Tanganyika,east central africa
Neolamprologus,obscurus,Cichlidae,benthopelagic,8.2,TL,3.5,endemic,Tanganyika,east central africa
Neolamprologus,olivaceous,Cichlidae,benthopelagic,6,TL,3.4,endemic,Tanganyika,east central africa
Neolamprologus,pectoralis,Cichlidae,benthopelagic,14,TL,3.7,endemic,Tanganyika,east central africa
Neolamprologus,petricola,Cichlidae,benthopelagic,14,TL,3.2,endemic,Tanganyika,east central africa
Neolamprologus,pleuromaculatus,Cichlidae,benthopelagic,12,TL,3.6,native,Tanganyika,east central africa
Neolamprologus,prochilus,Cichlidae,benthopelagic,17,TL,3.7,endemic,Tanganyika,east central africa
Neolamprologus,pulcher,Cichlidae,benthopelagic,7.2,TL,3.4,endemic,Tanganyika,east central africa
Neolamprologus,savoryi,Cichlidae,benthopelagic,8,TL,4.2,endemic,Tanganyika,east central africa
Neolamprologus,schreyeni,Cichlidae,benthopelagic,5,TL,3.3,endemic,Tanganyika,east central africa
Neolamprologus,sexfasciatus,Cichlidae,benthopelagic,15,TL,3.7,endemic,Tanganyika,east central africa
Neolamprologus,similis,Cichlidae,benthopelagic,5,TL,3.3,endemic,Tanganyika,east central africa
Neolamprologus,splendens,Cichlidae,benthopelagic,8,TL,3.5,endemic,Tanganyika,east central africa
Neolamprologus,tetracanthus,Cichlidae,benthopelagic,20,TL,3.8,endemic,Tanganyika,east central africa
Neolamprologus,timidus,Cichlidae,benthopelagic,10,SL,3.6,endemic,Tanganyika,east central africa
Neolamprologus,toae,Cichlidae,benthopelagic,12,TL,3.8,endemic,Tanganyika,east central africa
Neolamprologus,tretocephalus,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika,east central africa
Neolamprologus,ventralis,Cichlidae,benthopelagic,8,TL,3.5,endemic,Tanganyika,east central africa
Neolamprologus,walteri,Cichlidae,benthopelagic,5.7,SL,3.4,endemic,Tanganyika,east central africa
Neolamprologus,wauthioni,Cichlidae,benthopelagic,5.5,TL,3.4,endemic,Tanganyika,east central africa
Ophthalmotilapia,boops,Cichlidae,demersal,15,TL,3.4,native,Tanganyika,east central africa
Ophthalmotilapia,heterodonta,Cichlidae,demersal,14.4,TL,2.3,native,Tanganyika,east central africa
Ophthalmotilapia,nasuta,Cichlidae,benthopelagic,20,TL,2.1,native,Tanganyika,east central africa
Ophthalmotilapia,ventralis,Cichlidae,benthopelagic,15,TL,2.2,native,Tanganyika,east central africa
Oreochromis,leucostictus,Cichlidae,benthopelagic,36.3,SL,2.3,introduced,Tanganyika,east central africa
Oreochromis,malagarasi,Cichlidae,benthopelagic,27,TL,2.3,native,Tanganyika,east central africa
Oreochromis,niloticus,Cichlidae,benthopelagic,60,SL,2,native,Tanganyika,east central africa
Oreochromis,tanganicae,Cichlidae,benthopelagic,42,TL,2,endemic,Tanganyika,east central africa
Oreochromis,upembae,Cichlidae,benthopelagic,21,SL,2.5,native,Tanganyika,east central africa
Orthochromis,indermauri,Cichlidae,benthopelagic,6.9,SL,2.1,endemic,Tanganyika,east central africa
Orthochromis,luichensis,Cichlidae,benthopelagic,9.1,SL,2,endemic,Tanganyika,east central africa
Orthochromis,rugufuensis,Cichlidae,benthopelagic,5.7,SL,2.2,endemic,Tanganyika,east central africa
Paracyprichromis,brieni,Cichlidae,pelagic,11,TL,3.4,native,Tanganyika,east central africa
Paracyprichromis,nigripinnis,Cichlidae,benthopelagic,11,TL,3.4,native,Tanganyika,east central africa
Perissodus,eccentricus,Cichlidae,pelagic,16.4,SL,4.4,endemic,Tanganyika,east central africa
Perissodus,microlepis,Cichlidae,demersal,11,TL,4.2,endemic,Tanganyika,east central africa
Perissodus,paradoxus,Cichlidae,demersal,30,TL,4.4,endemic,Tanganyika,east central africa
Petrochromis,ephippium,Cichlidae,demersal,18,TL,2,endemic,Tanganyika,east central africa
Petrochromis,famula,Cichlidae,benthopelagic,15.1,TL,2,endemic,Tanganyika,east central africa
Petrochromis,fasciolatus,Cichlidae,benthopelagic,15,TL,2,endemic,Tanganyika,east central africa
Petrochromis,horii,Cichlidae,benthopelagic,13.8,SL,2,endemic,Tanganyika,east central africa
Petrochromis,macrognathus,Cichlidae,demersal,17.2,SL,2,endemic,Tanganyika,east central africa
Petrochromis,orthognathus,Cichlidae,benthopelagic,16.5,TL,2,endemic,Tanganyika,east central africa
Petrochromis,polyodon,Cichlidae,benthopelagic,21,TL,2,endemic,Tanganyika,east central africa
Petrochromis,trewavasae,Cichlidae,benthopelagic,18,TL,2,endemic,Tanganyika,east central africa
Plecodus,elaviae,Cichlidae,demersal,32,TL,4.4,endemic,Tanganyika,east central africa
Plecodus,multidentatus,Cichlidae,demersal,12,TL,4.4,endemic,Tanganyika,east central africa
Plecodus,straeleni,Cichlidae,demersal,16,TL,4.3,endemic,Tanganyika,east central africa
Pseudosimochromis,babaulti,Cichlidae,benthopelagic,12,TL,2,endemic,Tanganyika,east central africa
Pseudosimochromis,curvifrons,Cichlidae,benthopelagic,14,TL,2,endemic,Tanganyika,east central africa
Pseudosimochromis,margaretae,Cichlidae,demersal,8.2,SL,2,endemic,Tanganyika,east central africa
Pseudosimochromis,marginatus,Cichlidae,benthopelagic,10,TL,2,endemic,Tanganyika,east central africa
Reganochromis,calliurus,Cichlidae,benthopelagic,15,TL,3.6,endemic,Tanganyika,east central africa
Shuja,horei,Cichlidae,benthopelagic,20,SL,3.5,native,Tanganyika,east central africa
Simochromis,diagramma,Cichlidae,benthopelagic,19.5,TL,2,endemic,Tanganyika,east central africa
Spathodus,erythrodon,Cichlidae,demersal,8.5,TL,3.4,endemic,Tanganyika,east central africa
Spathodus,marlieri,Cichlidae,benthopelagic,10,TL,3.3,endemic,Tanganyika,east central africa
Tangachromis,dhanisi,Cichlidae,benthopelagic,8.5,TL,3,endemic,Tanganyika,east central africa
Tanganicodus,irsacae,Cichlidae,benthopelagic,7,TL,2,endemic,Tanganyika,east central africa
Telmatochromis,bifrenatus,Cichlidae,demersal,9,TL,2,endemic,Tanganyika,east central africa
Telmatochromis,brachygnathus,Cichlidae,benthopelagic,7.6,SL,2.3,native,Tanganyika,east central africa
Telmatochromis,brichardi,Cichlidae,demersal,4.1,SL,2.6,endemic,Tanganyika,east central africa
Telmatochromis,dhonti,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika,east central africa
Telmatochromis,temporalis,Cichlidae,demersal,10.2,TL,2.2,endemic,Tanganyika,east central africa
Telmatochromis,vittatus,Cichlidae,benthopelagic,8.6,TL,2.3,endemic,Tanganyika,east central africa
Trematocara,caparti,Cichlidae,benthopelagic,6.7,TL,3.2,endemic,Tanganyika,east central africa
Trematocara,kufferathi,Cichlidae,benthopelagic,6.8,TL,3.2,endemic,Tanganyika,east central africa
Trematocara,macrostoma,Cichlidae,benthopelagic,9.5,SL,3.3,endemic,Tanganyika,east central africa
Trematocara,marginatum,Cichlidae,benthopelagic,9.8,TL,3.3,endemic,Tanganyika,east central africa
Trematocara,nigrifrons,Cichlidae,benthopelagic,11.5,TL,3.3,endemic,Tanganyika,east central africa
Trematocara,stigmaticum,Cichlidae,benthopelagic,7.5,TL,3.2,endemic,Tanganyika,east central africa
Trematocara,unimaculatum,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika,east central africa
Trematocara,variabile,Cichlidae,benthopelagic,8.7,TL,3.3,endemic,Tanganyika,east central africa
Trematocara,zebra,Cichlidae,demersal,6.9,SL,3.3,endemic,Tanganyika,east central africa
Trematochromis,benthicola,Cichlidae,benthopelagic,21.5,TL,3.4,endemic,Tanganyika,east central africa
Triglachromis,otostigma,Cichlidae,benthopelagic,12,TL,2.7,endemic,Tanganyika,east central africa
Tropheus,annectens,Cichlidae,demersal,8,TL,3.3,endemic,Tanganyika,east central africa
Tropheus,brichardi,Cichlidae,demersal,10,TL,3.3,endemic,Tanganyika,east central africa
Tropheus,duboisi,Cichlidae,demersal,12,TL,3.3,endemic,Tanganyika,east central africa
Tropheus,kasabae,Cichlidae,demersal,11.1,TL,3.3,endemic,Tanganyika,east central africa
Tropheus,moorii,Cichlidae,benthopelagic,14.5,TL,2,endemic,Tanganyika,east central africa
Tropheus,polli,Cichlidae,demersal,16.5,TL,3.4,endemic,Tanganyika,east central africa
Tylochromis,polylepis,Cichlidae,demersal,43.5,NG,3,endemic,Tanganyika,east central africa
Variabilichromis,moorii,Cichlidae,benthopelagic,10.3,TL,3.3,endemic,Tanganyika,east central africa
Xenochromis,hecqui,Cichlidae,benthopelagic,30,TL,4.4,endemic,Tanganyika,east central africa
Xenotilapia,albini,Cichlidae,benthopelagic,8.9,TL,3.1,native,Tanganyika,east central africa
Xenotilapia,bathyphila,Cichlidae,demersal,10.3,TL,3.3,endemic,Tanganyika,east central africa
Xenotilapia,boulengeri,Cichlidae,benthopelagic,15.3,TL,3.3,endemic,Tanganyika,east central africa
Xenotilapia,burtoni,Cichlidae,demersal,17.7,TL,3.2,endemic,Tanganyika,east central africa
Xenotilapia,caudafasciata,Cichlidae,demersal,15.6,,3,endemic,Tanganyika,east central africa
Xenotilapia,flavipinnis,Cichlidae,demersal,9.2,TL,3.5,endemic,Tanganyika,east central africa
Xenotilapia,leptura,Cichlidae,demersal,11,TL,2,endemic,Tanganyika,east central africa
Xenotilapia,longispinis,Cichlidae,benthopelagic,16.3,TL,3.1,endemic,Tanganyika,east central africa
Xenotilapia,melanogenys,Cichlidae,demersal,15,TL,3.2,endemic,Tanganyika,east central africa
Xenotilapia,nasus,Cichlidae,demersal,9.3,TL,3.1,endemic,Tanganyika,east central africa
Xenotilapia,nigrolabiata,Cichlidae,demersal,13,TL,3.2,endemic,Tanganyika,east central africa
Xenotilapia,ochrogenys,Cichlidae,benthopelagic,11,TL,3.2,endemic,Tanganyika,east central africa
Xenotilapia,ornatipinnis,Cichlidae,demersal,12.5,TL,3.1,endemic,Tanganyika,east central africa
Xenotilapia,papilio,Cichlidae,demersal,7.8,TL,3.1,endemic,Tanganyika,east central africa
Xenotilapia,rotundiventralis,Cichlidae,demersal,5.3,SL,3.4,endemic,Tanganyika,east central africa
Xenotilapia,sima,Cichlidae,benthopelagic,16.4,TL,3.2,endemic,Tanganyika,east central africa
Xenotilapia,spilopterus,Cichlidae,demersal,9.6,TL,3.2,endemic,Tanganyika,east central africa
Xenotilapia,tenuidentata,Cichlidae,benthopelagic,8,TL,3.1,endemic,Tanganyika,east central africa
Citharinus,gibbosus,Citharinidae,pelagic,61,TL,2.2,native,Tanganyika,east central africa
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Tanganyika,east central africa
Clarias,dhonti,Clariidae,demersal,18.5,TL,3.3,native,Tanganyika,east central africa
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Tanganyika,east central africa
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Tanganyika,east central africa
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Tanganyika,east central africa
Clarias,werneri,Clariidae,demersal,23,TL,3.1,native,Tanganyika,east central africa
Dinotopterus,cunningtoni,Clariidae,demersal,175,SL,3.7,endemic,Tanganyika,east central africa
Heterobranchus,longifilis,Clariidae,demersal,150,SL,3.7,native,Tanganyika,east central africa
Pseudotanganikallabes,prognatha,Clariidae,demersal,6,SL,3.2,endemic,Tanganyika,east central africa
Tanganikallabes,alboperca,Clariidae,benthopelagic,16.1,SL,3.4,endemic,Tanganyika,east central africa
Tanganikallabes,mortiauxi,Clariidae,demersal,32.5,TL,3.4,endemic,Tanganyika,east central africa
Tanganikallabes,stewarti,Clariidae,benthopelagic,15.5,SL,3.4,endemic,Tanganyika,east central africa
Auchenoglanis,occidentalis,Claroteidae,demersal,70,SL,2.9,native,Tanganyika,east central africa
Bathybagrus,grandis,Claroteidae,demersal,63,TL,4.5,native,Tanganyika,east central africa
Bathybagrus,graueri,Claroteidae,demersal,36,TL,4.3,endemic,Tanganyika,east central africa
Bathybagrus,platycephalus,Claroteidae,demersal,22,TL,3.8,native,Tanganyika,east central africa
Bathybagrus,sianenna,Claroteidae,demersal,23,SL,3.7,native,Tanganyika,east central africa
Bathybagrus,stappersii,Claroteidae,demersal,45,SL,3.3,native,Tanganyika,east central africa
Bathybagrus,tetranema,Claroteidae,demersal,17,SL,3.8,native,Tanganyika,east central africa
Chrysichthys,acsiorum,Claroteidae,demersal,24.3,SL,3.3,endemic,Tanganyika,east central africa
Chrysichthys,brachynema,Claroteidae,demersal,77,TL,3.9,endemic,Tanganyika,east central africa
Chrysichthys,cranchii,Claroteidae,demersal,150,TL,3.4,questionable,Tanganyika,east central africa
Chrysichthys,mabusi,Claroteidae,demersal,41,SL,3.3,questionable,Tanganyika,east central africa
Lophiobagrus,aquilus,Claroteidae,demersal,8,TL,3.2,endemic,Tanganyika,east central africa
Lophiobagrus,asperispinis,Claroteidae,demersal,3.4,TL,3.1,endemic,Tanganyika,east central africa
Lophiobagrus,brevispinis,Claroteidae,demersal,5.1,TL,3.2,native,Tanganyika,east central africa
Lophiobagrus,cyclurus,Claroteidae,demersal,8,SL,3.3,endemic,Tanganyika,east central africa
Phyllonemus,brichardi,Claroteidae,demersal,7.8,SL,3.3,endemic,Tanganyika,east central africa
Phyllonemus,filinemus,Claroteidae,demersal,8.7,TL,3.3,native,Tanganyika,east central africa
Phyllonemus,typus,Claroteidae,demersal,8.8,TL,4,endemic,Tanganyika,east central africa
Acapoeta,tanganicae,Cyprinidae,benthopelagic,61,TL,2,native,Tanganyika,east central africa
Clypeobarbus,pleuropholis,Cyprinidae,benthopelagic,3.3,SL,3,questionable,Tanganyika,east central africa
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Tanganyika,east central africa
Enteromius,eutaenia,Cyprinidae,benthopelagic,14,SL,3.2,native,Tanganyika,east central africa
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Tanganyika,east central africa
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Tanganyika,east central africa
Enteromius,lufukiensis,Cyprinidae,benthopelagic,11,TL,3,native,Tanganyika,east central africa
Enteromius,miolepis,Cyprinidae,benthopelagic,12.5,SL,3,native,Tanganyika,east central africa
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Tanganyika,east central africa
Enteromius,oligogrammus,Cyprinidae,benthopelagic,8.2,TL,3,native,Tanganyika,east central africa
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Tanganyika,east central africa
Enteromius,taeniopleura,Cyprinidae,benthopelagic,9,TL,3,native,Tanganyika,east central africa
Enteromius,urostigma,Cyprinidae,benthopelagic,12,TL,3,native,Tanganyika,east central africa
Labeo,congoro,Cyprinidae,benthopelagic,41.5,SL,2.2,native,Tanganyika,east central africa
Labeo,cylindricus,Cyprinidae,benthopelagic,25,SL,2,native,Tanganyika,east central africa
Labeo,degeni,Cyprinidae,benthopelagic,68,SL,2,misidentification,Tanganyika,east central africa
Labeo,dhonti,Cyprinidae,benthopelagic,11.5,TL,2.5,native,Tanganyika,east central africa
Labeo,fuelleborni,Cyprinidae,benthopelagic,43,TL,2.2,questionable,Tanganyika,east central africa
Labeo,kibimbi,Cyprinidae,benthopelagic,47,SL,2.1,native,Tanganyika,east central africa
Labeo,lineatus,Cyprinidae,benthopelagic,78,TL,2,misidentification,Tanganyika,east central africa
Labeo,longipinnis,Cyprinidae,benthopelagic,26,SL,2.3,misidentification,Tanganyika,east central africa
Labeo,simpsoni,Cyprinidae,benthopelagic,22,SL,2.3,questionable,Tanganyika,east central africa
Labeo,weeksii,Cyprinidae,benthopelagic,29,TL,2.3,questionable,Tanganyika,east central africa
Labeobarbus,altianalis,Cyprinidae,benthopelagic,90,TL,3.4,native,Tanganyika,east central africa
Labeobarbus,caudovittatus,Cyprinidae,benthopelagic,80,TL,3.3,native,Tanganyika,east central africa
Labeobarbus,leleupanus,Cyprinidae,benthopelagic,22,SL,3.2,native,Tanganyika,east central africa
Labeobarbus,platyrhinus,Cyprinidae,benthopelagic,40,SL,3.2,endemic,Tanganyika,east central africa
Labeobarbus,pojeri,Cyprinidae,benthopelagic,18,TL,3.2,endemic,Tanganyika,east central africa
Labeobarbus,tropidolepis,Cyprinidae,benthopelagic,85,SL,3.3,endemic,Tanganyika,east central africa
Chelaethiops,congicus,Danionidae,benthopelagic,11,TL,3.3,native,Tanganyika,east central africa
Chelaethiops,minutus,Danionidae,benthopelagic,11,SL,3.3,endemic,Tanganyika,east central africa
Engraulicypris,spinifer,Danionidae,benthopelagic,5,SL,3,native,Tanganyika,east central africa
Opsaridium,ubangiense,Danionidae,benthopelagic,12,TL,3.3,native,Tanganyika,east central africa
Raiamas,marqueti,Danionidae,benthopelagic,19.7,SL,3.4,native,Tanganyika,east central africa
Raiamas,moorii,Danionidae,benthopelagic,22,TL,3.3,native,Tanganyika,east central africa
Raiamas,salmolucius,Danionidae,benthopelagic,16.4,SL,3.3,misidentification,Tanganyika,east central africa
Distichodus,fasciolatus,Distichodontidae,pelagic,60,TL,2,questionable,Tanganyika,east central africa
Distichodus,sexfasciatus,Distichodontidae,pelagic,76,SL,2.8,native,Tanganyika,east central africa
Limnothrissa,miodon,Dorosomatidae,pelagic,17,SL,3.1,endemic,Tanganyika,east central africa
Stolothrissa,tanganicae,Dorosomatidae,pelagic,10,SL,2.7,endemic,Tanganyika,east central africa
Kneria,rukwaensis,Kneriidae,demersal,6.2,SL,2.1,native,Tanganyika,east central africa
Kneria,wittei,Kneriidae,benthopelagic,8.6,SL,2,native,Tanganyika,east central africa
Lates,angustifrons,Latidae,demersal,200,SL,4.5,native,Tanganyika,east central africa
Lates,mariae,Latidae,demersal,80,TL,4.2,native,Tanganyika,east central africa
Lates,microlepis,Latidae,pelagic,93,TL,4.3,native,Tanganyika,east central africa
Lates,stappersii,Latidae,demersal,45,SL,4.3,endemic,Tanganyika,east central africa
Malapterurus,tanganyikaensis,Malapteruridae,benthopelagic,49.5,SL,3.5,native,Tanganyika,east central africa
Mastacembelus,albomaculatus,Mastacembelidae,demersal,22,TL,3.7,endemic,Tanganyika,east central africa
Mastacembelus,apectoralis,Mastacembelidae,benthopelagic,16.3,SL,3.6,endemic,Tanganyika,east central africa
Mastacembelus,cunningtoni,Mastacembelidae,benthopelagic,58,TL,4.2,endemic,Tanganyika,east central africa
Mastacembelus,ellipsifer,Mastacembelidae,benthopelagic,45,TL,3.8,endemic,Tanganyika,east central africa
Mastacembelus,flavidus,Mastacembelidae,benthopelagic,27,TL,3.7,endemic,Tanganyika,east central africa
Mastacembelus,frenatus,Mastacembelidae,demersal,40,SL,3.9,native,Tanganyika,east central africa
Mastacembelus,micropectus,Mastacembelidae,demersal,17.6,SL,3.7,endemic,Tanganyika,east central africa
Mastacembelus,moorii,Mastacembelidae,demersal,44,TL,4.2,endemic,Tanganyika,east central africa
Mastacembelus,ophidium,Mastacembelidae,demersal,33,TL,3.8,endemic,Tanganyika,east central africa
Mastacembelus,plagiostomus,Mastacembelidae,demersal,30,SL,3.8,endemic,Tanganyika,east central africa
Mastacembelus,platysoma,Mastacembelidae,benthopelagic,16,SL,3.6,endemic,Tanganyika,east central africa
Mastacembelus,polli,Mastacembelidae,demersal,14,SL,3.6,endemic,Tanganyika,east central africa
Mastacembelus,reygeli,Mastacembelidae,benthopelagic,25.4,SL,3.8,endemic,Tanganyika,east central africa
Mastacembelus,tanganicae,Mastacembelidae,demersal,19,SL,3.7,endemic,Tanganyika,east central africa
Mastacembelus,zebratus,Mastacembelidae,demersal,19,SL,3.7,endemic,Tanganyika,east central africa
Chiloglanis,asymetricaudalis,Mochokidae,benthopelagic,7.6,SL,2.6,native,Tanganyika,east central africa
Chiloglanis,kalambo,Mochokidae,benthopelagic,4.4,TL,3.1,endemic,Tanganyika,east central africa
Chiloglanis,kazumbei,Mochokidae,benthopelagic,5.4,SL,3.2,native,Tanganyika,east central africa
Chiloglanis,lukugae,Mochokidae,benthopelagic,9,SL,3.2,questionable,Tanganyika,east central africa
Chiloglanis,micropogon,Mochokidae,benthopelagic,4.9,TL,3.1,native,Tanganyika,east central africa
Chiloglanis,pojeri,Mochokidae,benthopelagic,7,TL,3.2,native,Tanganyika,east central africa
Chiloglanis,productus,Mochokidae,benthopelagic,4.9,SL,3.1,endemic,Tanganyika,east central africa
Synodontis,decorus,Mochokidae,benthopelagic,31.8,TL,2.9,native,Tanganyika,east central africa
Synodontis,dhonti,Mochokidae,benthopelagic,32.5,SL,2.8,endemic,Tanganyika,east central africa
Synodontis,grandiops,Mochokidae,demersal,11.1,SL,2.9,endemic,Tanganyika,east central africa
Synodontis,granulosus,Mochokidae,benthopelagic,27,TL,2.9,endemic,Tanganyika,east central africa
Synodontis,ilebrevis,Mochokidae,demersal,13.6,SL,2.9,endemic,Tanganyika,east central africa
Synodontis,irsacae,Mochokidae,demersal,15.7,SL,2.9,endemic,Tanganyika,east central africa
Synodontis,lucipinnis,Mochokidae,demersal,7.9,SL,2.9,endemic,Tanganyika,east central africa
Synodontis,melanostictus,Mochokidae,demersal,23.7,SL,2.9,native,Tanganyika,east central africa
Synodontis,multipunctatus,Mochokidae,benthopelagic,27.5,TL,3.4,endemic,Tanganyika,east central africa
Synodontis,nigromaculatus,Mochokidae,benthopelagic,38.5,TL,3.3,misidentification,Tanganyika,east central africa
Synodontis,petricola,Mochokidae,benthopelagic,10.2,TL,2.9,endemic,Tanganyika,east central africa
Synodontis,polli,Mochokidae,benthopelagic,14.8,TL,2.9,endemic,Tanganyika,east central africa
Synodontis,tanganyicae,Mochokidae,benthopelagic,56,TL,2.8,endemic,Tanganyika,east central africa
Cyphomyrus,discorhynchus,Mormyridae,demersal,31,SL,3.2,native,Tanganyika,east central africa
Gnathonemus,longibarbis,Mormyridae,demersal,36,TL,3.2,native,Tanganyika,east central africa
Gnathonemus,petersii,Mormyridae,demersal,35,SL,3.1,native,Tanganyika,east central africa
Marcusenius,stanleyanus,Mormyridae,demersal,21,TL,3.1,native,Tanganyika,east central africa
Mormyrops,anguilloides,Mormyridae,demersal,150,TL,3.8,native,Tanganyika,east central africa
Mormyrus,longirostris,Mormyridae,demersal,75,SL,3.3,native,Tanganyika,east central africa
Pollimyrus,nigricans,Mormyridae,demersal,10,SL,3.4,native,Tanganyika,east central africa
Polypterus,congicus,Polypteridae,demersal,97,TL,3.3,native,Tanganyika,east central africa
Polypterus,ornatipinnis,Polypteridae,demersal,60,TL,3.7,native,Tanganyika,east central africa
Lacustricola,pumilus,Procatopodidae,benthopelagic,5.5,TL,2.9,native,Tanganyika,east central africa
Lamprichthys,tanganicanus,Procatopodidae,benthopelagic,15,SL,3.5,endemic,Tanganyika,east central africa
Protopterus,aethiopicus,Protopteridae,demersal,200,TL,4.4,native,Tanganyika,east central africa
Schilbe,durinii,Schilbeidae,demersal,6.5,SL,3.2,questionable,Tanganyika,east central africa
Schilbe,intermedius,Schilbeidae,pelagic,50,SL,3.6,native,Tanganyika,east central africa
Tetraodon,mbu,Tetraodontidae,demersal,67,TL,3.6,native,Tanganyika,east central africa
Alestopetersius,leopoldianus,Alestidae,pelagic,9,TL,3.1,questionable,Victoria,east africa
Brycinus,jacksonii,Alestidae,pelagic,27,SL,3.2,native,Victoria,east africa
Brycinus,macrolepidotus,Alestidae,pelagic,53,SL,2.8,questionable,Victoria,east africa
Brycinus,nurse,Alestidae,pelagic,25,TL,2.5,misidentification,Victoria,east africa
Brycinus,sadleri,Alestidae,pelagic,13.8,TL,3.2,native,Victoria,east africa
Amphilius,jacksonii,Amphiliidae,demersal,15,TL,3,native,Victoria,east africa
Amphilius,kivuensis,Amphiliidae,demersal,10.6,TL,3,questionable,Victoria,east africa
Amphilius,lujani,Amphiliidae,demersal,12,SL,3,native,Victoria,east africa
Amphilius,uranoscopus,Amphiliidae,demersal,19.5,TL,2.9,native,Victoria,east africa
Zaireichthys,rotundiceps,Amphiliidae,demersal,3.8,SL,3.4,questionable,Victoria,east africa
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Victoria,east africa
Anguilla,anguilla,Anguillidae,demersal,133,TL,3.5,introduced,Victoria,east africa
Bagrus,degeni,Bagridae,demersal,55,TL,4.2,endemic,Victoria,east africa
Bagrus,docmak,Bagridae,benthopelagic,127,TL,4.1,native,Victoria,east africa
Micropterus,dolomieu,Centrarchidae,benthopelagic,69,TL,3.6,introduced,Victoria,east africa
Micropterus,salmoides,Centrarchidae,benthopelagic,97,TL,3.8,introduced,Victoria,east africa
Astatoreochromis,alluaudi,Cichlidae,benthopelagic,19,SL,3.6,native,Victoria,east africa
Astatotilapia,burtoni,Cichlidae,benthopelagic,15,SL,3,native,Victoria,east africa
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,introduced,Victoria,east africa
Coptodon,zillii,Cichlidae,benthopelagic,40,SL,2.5,introduced,Victoria,east africa
Haplochromis,acidens,Cichlidae,benthopelagic,12.8,SL,3,endemic,Victoria,east africa
Haplochromis,aelocephalus,Cichlidae,benthopelagic,12,SL,3.3,endemic,Victoria,east africa
Haplochromis,altigenis,Cichlidae,benthopelagic,20.2,SL,4.2,endemic,Victoria,east africa
Haplochromis,ampullarostratus,Cichlidae,benthopelagic,7.2,SL,3.3,endemic,Victoria,east africa
Haplochromis,antleter,Cichlidae,demersal,7,SL,3.3,endemic,Victoria,east africa
Haplochromis,apogonoides,Cichlidae,benthopelagic,13.2,SL,3.4,native,Victoria,east africa
Haplochromis,arcanus,Cichlidae,benthopelagic,14.2,SL,4.2,endemic,Victoria,east africa
Haplochromis,argens,Cichlidae,pelagic,7.6,SL,3.3,endemic,Victoria,east africa
Haplochromis,argenteus,Cichlidae,benthopelagic,20.2,SL,3.6,native,Victoria,east africa
Haplochromis,artaxerxes,Cichlidae,benthopelagic,14.7,SL,3.6,endemic,Victoria,east africa
Haplochromis,azureus,Cichlidae,demersal,9.6,SL,3.4,native,Victoria,east africa
Haplochromis,barbarae,Cichlidae,benthopelagic,10.6,SL,4,native,Victoria,east africa
Haplochromis,bareli,Cichlidae,benthopelagic,12.5,SL,4.2,endemic,Victoria,east africa
Haplochromis,bartoni,Cichlidae,benthopelagic,19.5,SL,4.2,endemic,Victoria,east africa
Haplochromis,bayoni,Cichlidae,benthopelagic,15.4,SL,4.2,endemic,Victoria,east africa
Haplochromis,bicolor,Cichlidae,demersal,15,SL,3.6,endemic,Victoria,east africa
Haplochromis,boops,Cichlidae,benthopelagic,19.4,SL,4.2,endemic,Victoria,east africa
Haplochromis,brownae,Cichlidae,benthopelagic,10.4,SL,3.9,endemic,Victoria,east africa
Haplochromis,bwathondii,Cichlidae,pelagic,8.2,SL,3.3,endemic,Victoria,east africa
Haplochromis,cassius,Cichlidae,benthopelagic,9.8,SL,3.4,endemic,Victoria,east africa
Haplochromis,cavifrons,Cichlidae,benthopelagic,19.5,SL,4.2,endemic,Victoria,east africa
Haplochromis,chilotes,Cichlidae,benthopelagic,14.8,SL,3.2,native,Victoria,east africa
Haplochromis,chlorochrous,Cichlidae,benthopelagic,12,SL,3.6,endemic,Victoria,east africa
Haplochromis,chromogynos,Cichlidae,benthopelagic,11,SL,3.2,endemic,Victoria,east africa
Haplochromis,chrysogynaion,Cichlidae,benthopelagic,9.1,SL,4.2,endemic,Victoria,east africa
