Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Copadichromis atripinnis,,Cichlidae,pelagic,10.3 SL,3.3,native,Malawi
Copadichromis azureus,,Cichlidae,benthopelagic,14.6 TL,3.4,endemic,Malawi
Copadichromis borleyi,Haplochromis borleyi redfin,Cichlidae,benthopelagic,14.0 TL,3.4,endemic,Malawi
Copadichromis chizumuluensis,,Cichlidae,benthopelagic,10.6 SL,3.3,endemic,Malawi
Copadichromis chrysonotus,,Cichlidae,benthopelagic,16.3 TL,3.4,native,Malawi
Copadichromis cyaneus,,Cichlidae,benthopelagic,19.0 TL,3.4,endemic,Malawi
Copadichromis cyanocephalus,,Cichlidae,benthopelagic,9.0 SL,3.3,endemic,Malawi
Copadichromis diplostigma,,Cichlidae,benthopelagic,11.2 SL,3.4,endemic,Malawi
Copadichromis geertsi,,Cichlidae,benthopelagic,12.8 SL,3.4,endemic,Malawi
Copadichromis ilesi,,Cichlidae,benthopelagic,11.4 SL,3.4,endemic,Malawi
Copadichromis insularis,,Cichlidae,benthopelagic,11.0 SL,3.3,endemic,Malawi
Copadichromis jacksoni,,Cichlidae,benthopelagic,18.3 TL,3.4,endemic,Malawi
Copadichromis likomae,,Cichlidae,benthopelagic,14.0 TL,3.4,endemic,Malawi
Copadichromis mbenjii,Haplochromis quads,Cichlidae,benthopelagic,14.0 TL,3.4,endemic,Malawi
Copadichromis melas,,Cichlidae,demersal,8.9 SL,3.3,endemic,Malawi
Copadichromis mloto,,Cichlidae,benthopelagic,13.5 TL,3.3,endemic,Malawi
Copadichromis nkatae,,Cichlidae,benthopelagic,14.5 TL,2.8,endemic,Malawi
Copadichromis parvus,,Cichlidae,benthopelagic,9.6 SL,3.3,endemic,Malawi
Copadichromis pleurostigma,,Cichlidae,benthopelagic,19.5 TL,3.4,endemic,Malawi
Copadichromis pleurostigmoides,,Cichlidae,benthopelagic,16.0 TL,3.4,endemic,Malawi
Copadichromis quadrimaculatus,,Cichlidae,benthopelagic,20.0 TL,2.6,endemic,Malawi
Copadichromis trewavasae,,Cichlidae,benthopelagic,10.5 SL,3.3,endemic,Malawi
Copadichromis trimaculatus,Verduya's hap,Cichlidae,benthopelagic,19.6 TL,3.4,endemic,Malawi
Copadichromis verduyni,,Cichlidae,benthopelagic,11.0 TL,3.3,endemic,Malawi
Copadichromis virginalis,Lake Malawi utaka,Cichlidae,demersal,13.2 TL,3,endemic,Malawi
Coptodon rendalli,Redbreast tilapia,Cichlidae,benthopelagic,45.0 TL,2.3,native,Malawi
Corematodus shiranus,,Cichlidae,benthopelagic,27.0 TL,4.4,endemic,Malawi
Corematodus taeniatus,,Cichlidae,benthopelagic,19.0 TL,4.4,endemic,Malawi
Ctenopharynx intermedius,,Cichlidae,benthopelagic,21.0 TL,3.4,native,Malawi
Ctenopharynx nitidus,,Cichlidae,benthopelagic,13.9 TL,3.5,endemic,Malawi
Ctenopharynx pictus,,Cichlidae,benthopelagic,12.6 TL,3,endemic,Malawi
Cyathochromis obliquidens,,Cichlidae,benthopelagic,15.0 TL,2,native,Malawi
Cynotilapia afra,,Cichlidae,benthopelagic,10.1 SL,3.4,endemic,Malawi
Cynotilapia aurifrons,,Cichlidae,benthopelagic,7.3 SL,3.4,endemic,Malawi
Cynotilapia axelrodi,,Cichlidae,benthopelagic,7.7 SL,3.4,endemic,Malawi
Cynotilapia chilundu,,Cichlidae,benthopelagic,8.3 SL,3.4,endemic,Malawi
Cynotilapia zebroides,,Cichlidae,benthopelagic,9.3 SL,3.4,endemic,Malawi
Cyrtocara moorii,Hump-head,Cichlidae,benthopelagic,20.0 TL,3.4,endemic,Malawi
Dimidiochromis compressiceps,Malawi eyebiter,Cichlidae,benthopelagic,23.0 TL,4.2,endemic,Malawi
Dimidiochromis dimidiatus,Ncheni type haplochromis,Cichlidae,benthopelagic,20.0 TL,4,endemic,Malawi
Dimidiochromis kiwinge,,Cichlidae,benthopelagic,30.0 TL,4.2,native,Malawi
Dimidiochromis strigatus,Haplochromis sunset,Cichlidae,benthopelagic,24.4 TL,3.8,native,Malawi
Diplotaxodon aeneus,,Cichlidae,benthopelagic,14.0 SL,4,endemic,Malawi
Diplotaxodon altus,,Cichlidae,benthopelagic,16.2 SL,4,endemic,Malawi
Diplotaxodon apogon,,Cichlidae,benthopelagic,11.7 SL,3.9,endemic,Malawi
Diplotaxodon argenteus,,Cichlidae,benthopelagic,20.4 SL,4.2,endemic,Malawi
Diplotaxodon dentatus,,Cichlidae,benthopelagic,12.0 SL,3.9,endemic,Malawi
Diplotaxodon ecclesi,,Cichlidae,benthopelagic,14.6 SL,4.2,endemic,Malawi
Diplotaxodon greenwoodi,,Cichlidae,benthopelagic,24.7 SL,4.2,endemic,Malawi
Diplotaxodon limnothrissa,,Cichlidae,pelagic,15.4 SL,3.1,endemic,Malawi
Diplotaxodon longimaxilla,,Cichlidae,benthopelagic,18.1 SL,4.1,endemic,Malawi
Diplotaxodon macrops,,Cichlidae,benthopelagic,12.5 SL,2.8,endemic,Malawi
Docimodus evelynae,,Cichlidae,benthopelagic,20.1 SL,3.4,endemic,Malawi
Docimodus johnstoni,,Cichlidae,benthopelagic,25.0 TL,4.2,endemic,Malawi
Eclectochromis lobochilus,,Cichlidae,benthopelagic,12.5 TL,3.3,endemic,Malawi
Eclectochromis ornatus,,Cichlidae,benthopelagic,18.2 SL,3.4,endemic,Malawi
Exochochromis anagenys,Threespot torpedo,Cichlidae,benthopelagic,20.0 SL,4.2,endemic,Malawi
Fossorochromis rostratus,,Cichlidae,benthopelagic,24.4 TL,3.4,endemic,Malawi
Genyochromis mento,,Cichlidae,benthopelagic,12.6 TL,4.4,endemic,Malawi
Gephyrochromis lawsi,,Cichlidae,benthopelagic,12.8 TL,3.3,endemic,Malawi
Gephyrochromis moorii,,Cichlidae,benthopelagic,12.0 TL,3.3,endemic,Malawi
Hemitaeniochromis brachyrhynchus,,Cichlidae,pelagic,123.6 SL,3.8,endemic,Malawi
Hemitaeniochromis urotaenia,,Cichlidae,benthopelagic,22.0 TL,3.4,endemic,Malawi
Hemitilapia oxyrhynchus,Giant Haplochromis,Cichlidae,benthopelagic,20.0 TL,2,native,Malawi
Iodotropheus declivitas,,Cichlidae,benthopelagic,6.5 SL,3.3,native,Malawi
Iodotropheus sprengerae,Lavender mbuna,Cichlidae,benthopelagic,10.8 SL,4,endemic,Malawi
Iodotropheus stuartgranti,,Cichlidae,benthopelagic,10.0 TL,3.3,endemic,Malawi
Labeotropheus alticodia,,Cichlidae,benthopelagic,8.6 SL,3.3,endemic,Malawi
Labeotropheus artatorostris,,Cichlidae,benthopelagic,11.5 SL,3.4,endemic,Malawi
