Species,Name,Family,Habitat,Length (cm),Trophic Level,Status,Lake
Petrocephalus degeni,,Mormyridae,demersal,8.1 SL,3.2,endemic,Victoria
Pollimyrus nigricans,Dark stonebasher,Mormyridae,demersal,10.0 SL,3.4,native,Victoria
Nothobranchius attenboroughi,,Nothobranchiidae,benthopelagic,4.4 SL,3.2,endemic,Victoria
Nothobranchius derhami,,Nothobranchiidae,benthopelagic,3.8 SL,3.2,endemic,Victoria
Nothobranchius moameensis,,Nothobranchiidae,benthopelagic,4.3 SL,3.2,endemic,Victoria
Nothobranchius ottoschmidti,,Nothobranchiidae,benthopelagic,5.5 SL,3.2,native,Victoria
Nothobranchius robustus,Red Victoria nothobranch,Nothobranchiidae,benthopelagic,5.5 TL,3.2,native,Victoria
Nothobranchius sagittae,,Nothobranchiidae,pelagic,3.9 SL,3.2,endemic,Victoria
Nothobranchius serengetiensis,,Nothobranchiidae,pelagic,4.8 SL,3.2,endemic,Victoria
Nothobranchius skeltoni,,Nothobranchiidae,benthopelagic,5.3 SL,3.2,endemic,Victoria
Nothobranchius sonjae,,Nothobranchiidae,benthopelagic,4.4 SL,3.2,native,Victoria
Nothobranchius taeniopygus,Striped nothobranch,Nothobranchiidae,benthopelagic,3.6 SL,3.2,native,Victoria
Nothobranchius ugandensis,Uganda nothobranch,Nothobranchiidae,benthopelagic,5.0 SL,3.2,native,Victoria
Nothobranchius venustus,,Nothobranchiidae,benthopelagic,3.6 SL,3.2,endemic,Victoria
Gambusia holbrooki,Eastern mosquitofish,Poeciliidae,benthopelagic,8.0 TL,3.1,introduced,Victoria
Poecilia reticulata,Guppy,Poeciliidae,benthopelagic,6.0 SL,3.2,introduced,Victoria
Lacustricola atripinna,,Procatopodidae,benthopelagic,3.8 TL,3,questionable,Victoria
Lacustricola bukobanus,Bukoba lampeye,Procatopodidae,benthopelagic,5.0 TL,3,native,Victoria
Lacustricola centralis,Cental east african lampeye,Procatopodidae,benthopelagic,3.3 TL,3,native,Victoria
Lacustricola pumilus,Tanganyika lampeye,Procatopodidae,benthopelagic,5.5 TL,2.9,misidentification,Victoria
Lacustricola vitschumbaensis,Bitschumbi lampeye,Procatopodidae,benthopelagic,5.5 TL,2.9,native,Victoria
Micropanchax fuelleborni,Lake Rukwa lampeye,Procatopodidae,benthopelagic,3.5 TL,3.1,questionable,Victoria
Micropanchax loati,Nile killifish,Procatopodidae,benthopelagic,4.0 TL,3.2,native,Victoria
Protopterus aethiopicus,Marbled lungfish,Protopteridae,demersal,200.0 TL,4.4,native,Victoria
Schilbe intermedius,Silver catfish,Schilbeidae,pelagic,50.0 SL,3.6,native,Victoria
Schilbe mystus,African butter catfish,Schilbeidae,demersal,35.0 SL,3.5,questionable,Victoria
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
