Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake
Ophthalmotilapia,nasuta,Cichlidae,benthopelagic,20,TL,2.1,native,Tanganyika
Ophthalmotilapia,ventralis,Cichlidae,benthopelagic,15,TL,2.2,native,Tanganyika
Oreochromis,leucostictus,Cichlidae,benthopelagic,36.3,SL,2.3,introduced,Tanganyika
Oreochromis,malagarasi,Cichlidae,benthopelagic,27,TL,2.3,native,Tanganyika
Oreochromis,niloticus,Cichlidae,benthopelagic,60,SL,2,native,Tanganyika
Oreochromis,tanganicae,Cichlidae,benthopelagic,42,TL,2,endemic,Tanganyika
Oreochromis,upembae,Cichlidae,benthopelagic,21,SL,2.5,native,Tanganyika
Orthochromis,indermauri,Cichlidae,benthopelagic,6.9,SL,2.1,endemic,Tanganyika
Orthochromis,luichensis,Cichlidae,benthopelagic,9.1,SL,2,endemic,Tanganyika
Orthochromis,rugufuensis,Cichlidae,benthopelagic,5.7,SL,2.2,endemic,Tanganyika
Paracyprichromis,brieni,Cichlidae,pelagic,11,TL,3.4,native,Tanganyika
Paracyprichromis,nigripinnis,Cichlidae,benthopelagic,11,TL,3.4,native,Tanganyika
Perissodus,eccentricus,Cichlidae,pelagic,16.4,SL,4.4,endemic,Tanganyika
Perissodus,microlepis,Cichlidae,demersal,11,TL,4.2,endemic,Tanganyika
Perissodus,paradoxus,Cichlidae,demersal,30,TL,4.4,endemic,Tanganyika
Petrochromis,ephippium,Cichlidae,demersal,18,TL,2,endemic,Tanganyika
Petrochromis,famula,Cichlidae,benthopelagic,15.1,TL,2,endemic,Tanganyika
Petrochromis,fasciolatus,Cichlidae,benthopelagic,15,TL,2,endemic,Tanganyika
Petrochromis,horii,Cichlidae,benthopelagic,13.8,SL,2,endemic,Tanganyika
Petrochromis,macrognathus,Cichlidae,demersal,17.2,SL,2,endemic,Tanganyika
Petrochromis,orthognathus,Cichlidae,benthopelagic,16.5,TL,2,endemic,Tanganyika
Petrochromis,polyodon,Cichlidae,benthopelagic,21,TL,2,endemic,Tanganyika
Petrochromis,trewavasae,Cichlidae,benthopelagic,18,TL,2,endemic,Tanganyika
Plecodus,elaviae,Cichlidae,demersal,32,TL,4.4,endemic,Tanganyika
Plecodus,multidentatus,Cichlidae,demersal,12,TL,4.4,endemic,Tanganyika
Plecodus,straeleni,Cichlidae,demersal,16,TL,4.3,endemic,Tanganyika
Pseudosimochromis,babaulti,Cichlidae,benthopelagic,12,TL,2,endemic,Tanganyika
Pseudosimochromis,curvifrons,Cichlidae,benthopelagic,14,TL,2,endemic,Tanganyika
Pseudosimochromis,margaretae,Cichlidae,demersal,8.2,SL,2,endemic,Tanganyika
Pseudosimochromis,marginatus,Cichlidae,benthopelagic,10,TL,2,endemic,Tanganyika
Reganochromis,calliurus,Cichlidae,benthopelagic,15,TL,3.6,endemic,Tanganyika
Shuja,horei,Cichlidae,benthopelagic,20,SL,3.5,native,Tanganyika
Simochromis,diagramma,Cichlidae,benthopelagic,19.5,TL,2,endemic,Tanganyika
Spathodus,erythrodon,Cichlidae,demersal,8.5,TL,3.4,endemic,Tanganyika
Spathodus,marlieri,Cichlidae,benthopelagic,10,TL,3.3,endemic,Tanganyika
Tangachromis,dhanisi,Cichlidae,benthopelagic,8.5,TL,3,endemic,Tanganyika
Tanganicodus,irsacae,Cichlidae,benthopelagic,7,TL,2,endemic,Tanganyika
Telmatochromis,bifrenatus,Cichlidae,demersal,9,TL,2,endemic,Tanganyika
Telmatochromis,brachygnathus,Cichlidae,benthopelagic,7.6,SL,2.3,native,Tanganyika
Telmatochromis,brichardi,Cichlidae,demersal,4.1,SL,2.6,endemic,Tanganyika
Telmatochromis,dhonti,Cichlidae,benthopelagic,12,TL,3.5,endemic,Tanganyika
Telmatochromis,temporalis,Cichlidae,demersal,10.2,TL,2.2,endemic,Tanganyika
Telmatochromis,vittatus,Cichlidae,benthopelagic,8.6,TL,2.3,endemic,Tanganyika
Trematocara,caparti,Cichlidae,benthopelagic,6.7,TL,3.2,endemic,Tanganyika
Trematocara,kufferathi,Cichlidae,benthopelagic,6.8,TL,3.2,endemic,Tanganyika
Trematocara,macrostoma,Cichlidae,benthopelagic,9.5,SL,3.3,endemic,Tanganyika
Trematocara,marginatum,Cichlidae,benthopelagic,9.8,TL,3.3,endemic,Tanganyika
Trematocara,nigrifrons,Cichlidae,benthopelagic,11.5,TL,3.3,endemic,Tanganyika
Trematocara,stigmaticum,Cichlidae,benthopelagic,7.5,TL,3.2,endemic,Tanganyika
Trematocara,unimaculatum,Cichlidae,benthopelagic,15,TL,3.4,endemic,Tanganyika
Trematocara,variabile,Cichlidae,benthopelagic,8.7,TL,3.3,endemic,Tanganyika
Trematocara,zebra,Cichlidae,demersal,6.9,SL,3.3,endemic,Tanganyika
Trematochromis,benthicola,Cichlidae,benthopelagic,21.5,TL,3.4,endemic,Tanganyika
Triglachromis,otostigma,Cichlidae,benthopelagic,12,TL,2.7,endemic,Tanganyika
Tropheus,annectens,Cichlidae,demersal,8,TL,3.3,endemic,Tanganyika
Tropheus,brichardi,Cichlidae,demersal,10,TL,3.3,endemic,Tanganyika
Tropheus,duboisi,Cichlidae,demersal,12,TL,3.3,endemic,Tanganyika
Tropheus,kasabae,Cichlidae,demersal,11.1,TL,3.3,endemic,Tanganyika
Tropheus,moorii,Cichlidae,benthopelagic,14.5,TL,2,endemic,Tanganyika
Tropheus,polli,Cichlidae,demersal,16.5,TL,3.4,endemic,Tanganyika
Tylochromis,polylepis,Cichlidae,demersal,43.5,NG,3,endemic,Tanganyika
Variabilichromis,moorii,Cichlidae,benthopelagic,10.3,TL,3.3,endemic,Tanganyika
Xenochromis,hecqui,Cichlidae,benthopelagic,30,TL,4.4,endemic,Tanganyika
Xenotilapia,albini,Cichlidae,benthopelagic,8.9,TL,3.1,native,Tanganyika
Xenotilapia,bathyphila,Cichlidae,demersal,10.3,TL,3.3,endemic,Tanganyika
Xenotilapia,boulengeri,Cichlidae,benthopelagic,15.3,TL,3.3,endemic,Tanganyika
Xenotilapia,burtoni,Cichlidae,demersal,17.7,TL,3.2,endemic,Tanganyika
Xenotilapia,caudafasciata,Cichlidae,demersal,15.6,,3,endemic,Tanganyika
Xenotilapia,flavipinnis,Cichlidae,demersal,9.2,TL,3.5,endemic,Tanganyika
Xenotilapia,leptura,Cichlidae,demersal,11,TL,2,endemic,Tanganyika
Xenotilapia,longispinis,Cichlidae,benthopelagic,16.3,TL,3.1,endemic,Tanganyika
Xenotilapia,melanogenys,Cichlidae,demersal,15,TL,3.2,endemic,Tanganyika
Xenotilapia,nasus,Cichlidae,demersal,9.3,TL,3.1,endemic,Tanganyika
Xenotilapia,nigrolabiata,Cichlidae,demersal,13,TL,3.2,endemic,Tanganyika
Xenotilapia,ochrogenys,Cichlidae,benthopelagic,11,TL,3.2,endemic,Tanganyika
Xenotilapia,ornatipinnis,Cichlidae,demersal,12.5,TL,3.1,endemic,Tanganyika
Xenotilapia,papilio,Cichlidae,demersal,7.8,TL,3.1,endemic,Tanganyika
Xenotilapia,rotundiventralis,Cichlidae,demersal,5.3,SL,3.4,endemic,Tanganyika
Xenotilapia,sima,Cichlidae,benthopelagic,16.4,TL,3.2,endemic,Tanganyika
Xenotilapia,spilopterus,Cichlidae,demersal,9.6,TL,3.2,endemic,Tanganyika
Xenotilapia,tenuidentata,Cichlidae,benthopelagic,8,TL,3.1,endemic,Tanganyika
Citharinus,gibbosus,Citharinidae,pelagic,61,TL,2.2,native,Tanganyika
Clarias,alluaudi,Clariidae,demersal,23,TL,3.2,native,Tanganyika
Clarias,dhonti,Clariidae,demersal,18.5,TL,3.3,native,Tanganyika
Clarias,gariepinus,Clariidae,benthopelagic,170,TL,3.8,native,Tanganyika
Clarias,liocephalus,Clariidae,demersal,32,TL,3.3,native,Tanganyika
Clarias,theodorae,Clariidae,demersal,35,SL,3.5,native,Tanganyika
Clarias,werneri,Clariidae,demersal,23,TL,3.1,native,Tanganyika
Dinotopterus,cunningtoni,Clariidae,demersal,175,SL,3.7,endemic,Tanganyika
Heterobranchus,longifilis,Clariidae,demersal,150,SL,3.7,native,Tanganyika
Pseudotanganikallabes,prognatha,Clariidae,demersal,6,SL,3.2,endemic,Tanganyika
Tanganikallabes,alboperca,Clariidae,benthopelagic,16.1,SL,3.4,endemic,Tanganyika
Tanganikallabes,mortiauxi,Clariidae,demersal,32.5,TL,3.4,endemic,Tanganyika
Tanganikallabes,stewarti,Clariidae,benthopelagic,15.5,SL,3.4,endemic,Tanganyika
Auchenoglanis,occidentalis,Claroteidae,demersal,70,SL,2.9,native,Tanganyika
Bathybagrus,grandis,Claroteidae,demersal,63,TL,4.5,native,Tanganyika
Bathybagrus,graueri,Claroteidae,demersal,36,TL,4.3,endemic,Tanganyika
Bathybagrus,platycephalus,Claroteidae,demersal,22,TL,3.8,native,Tanganyika
Bathybagrus,sianenna,Claroteidae,demersal,23,SL,3.7,native,Tanganyika
Bathybagrus,stappersii,Claroteidae,demersal,45,SL,3.3,native,Tanganyika
Bathybagrus,tetranema,Claroteidae,demersal,17,SL,3.8,native,Tanganyika
Chrysichthys,acsiorum,Claroteidae,demersal,24.3,SL,3.3,endemic,Tanganyika
Chrysichthys,brachynema,Claroteidae,demersal,77,TL,3.9,endemic,Tanganyika
Chrysichthys,cranchii,Claroteidae,demersal,150,TL,3.4,questionable,Tanganyika
Chrysichthys,mabusi,Claroteidae,demersal,41,SL,3.3,questionable,Tanganyika
Lophiobagrus,aquilus,Claroteidae,demersal,8,TL,3.2,endemic,Tanganyika
Lophiobagrus,asperispinis,Claroteidae,demersal,3.4,TL,3.1,endemic,Tanganyika
Lophiobagrus,brevispinis,Claroteidae,demersal,5.1,TL,3.2,native,Tanganyika
Lophiobagrus,cyclurus,Claroteidae,demersal,8,SL,3.3,endemic,Tanganyika
Phyllonemus,brichardi,Claroteidae,demersal,7.8,SL,3.3,endemic,Tanganyika
Phyllonemus,filinemus,Claroteidae,demersal,8.7,TL,3.3,native,Tanganyika
Phyllonemus,typus,Claroteidae,demersal,8.8,TL,4,endemic,Tanganyika
Acapoeta,tanganicae,Cyprinidae,benthopelagic,61,TL,2,native,Tanganyika
Clypeobarbus,pleuropholis,Cyprinidae,benthopelagic,3.3,SL,3,questionable,Tanganyika
Enteromius,apleurogramma,Cyprinidae,benthopelagic,5.4,SL,2.9,native,Tanganyika
Enteromius,eutaenia,Cyprinidae,benthopelagic,14,SL,3.2,native,Tanganyika
Enteromius,kerstenii,Cyprinidae,benthopelagic,9,SL,3,native,Tanganyika
Enteromius,lineomaculatus,Cyprinidae,benthopelagic,8.6,SL,3,native,Tanganyika
Enteromius,lufukiensis,Cyprinidae,benthopelagic,11,TL,3,native,Tanganyika
Enteromius,miolepis,Cyprinidae,benthopelagic,12.5,SL,3,native,Tanganyika
Enteromius,neumayeri,Cyprinidae,benthopelagic,11.8,SL,3,native,Tanganyika
Enteromius,oligogrammus,Cyprinidae,benthopelagic,8.2,TL,3,native,Tanganyika
Enteromius,pellegrini,Cyprinidae,benthopelagic,11.7,SL,3,native,Tanganyika
Enteromius,taeniopleura,Cyprinidae,benthopelagic,9,TL,3,native,Tanganyika
Enteromius,urostigma,Cyprinidae,benthopelagic,12,TL,3,native,Tanganyika
Labeo,congoro,Cyprinidae,benthopelagic,41.5,SL,2.2,native,Tanganyika
Labeo,cylindricus,Cyprinidae,benthopelagic,25,SL,2,native,Tanganyika
Labeo,degeni,Cyprinidae,benthopelagic,68,SL,2,misidentification,Tanganyika
Labeo,dhonti,Cyprinidae,benthopelagic,11.5,TL,2.5,native,Tanganyika
Labeo,fuelleborni,Cyprinidae,benthopelagic,43,TL,2.2,questionable,Tanganyika
Labeo,kibimbi,Cyprinidae,benthopelagic,47,SL,2.1,native,Tanganyika
Labeo,lineatus,Cyprinidae,benthopelagic,78,TL,2,misidentification,Tanganyika
Labeo,longipinnis,Cyprinidae,benthopelagic,26,SL,2.3,misidentification,Tanganyika
Labeo,simpsoni,Cyprinidae,benthopelagic,22,SL,2.3,questionable,Tanganyika
Labeo,weeksii,Cyprinidae,benthopelagic,29,TL,2.3,questionable,Tanganyika
Labeobarbus,altianalis,Cyprinidae,benthopelagic,90,TL,3.4,native,Tanganyika
Labeobarbus,caudovittatus,Cyprinidae,benthopelagic,80,TL,3.3,native,Tanganyika
Labeobarbus,leleupanus,Cyprinidae,benthopelagic,22,SL,3.2,native,Tanganyika
Labeobarbus,platyrhinus,Cyprinidae,benthopelagic,40,SL,3.2,endemic,Tanganyika
Labeobarbus,pojeri,Cyprinidae,benthopelagic,18,TL,3.2,endemic,Tanganyika
Labeobarbus,tropidolepis,Cyprinidae,benthopelagic,85,SL,3.3,endemic,Tanganyika
Chelaethiops,congicus,Danionidae,benthopelagic,11,TL,3.3,native,Tanganyika
Chelaethiops,minutus,Danionidae,benthopelagic,11,SL,3.3,endemic,Tanganyika
Engraulicypris,spinifer,Danionidae,benthopelagic,5,SL,3,native,Tanganyika
Opsaridium,ubangiense,Danionidae,benthopelagic,12,TL,3.3,native,Tanganyika
Raiamas,marqueti,Danionidae,benthopelagic,19.7,SL,3.4,native,Tanganyika
Raiamas,moorii,Danionidae,benthopelagic,22,TL,3.3,native,Tanganyika
Raiamas,salmolucius,Danionidae,benthopelagic,16.4,SL,3.3,misidentification,Tanganyika
Distichodus,fasciolatus,Distichodontidae,pelagic,60,TL,2,questionable,Tanganyika
Distichodus,sexfasciatus,Distichodontidae,pelagic,76,SL,2.8,native,Tanganyika
