Genus,Species,Family,Habitat,Length (cm),measurement,Trophic Level,Status,Lake,Continent,Fertilization
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Tanganyika,Africa,external
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,introduced,Victoria,Africa,external
Coptodon,zillii,Cichlidae,benthopelagic,40,SL,2.5,introduced,Victoria,Africa,
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,native,Malawi,Africa,external
Coptodon,rendalli,Cichlidae,benthopelagic,45,TL,2.3,introduced,Kivu,Africa,external
Coptodon,zillii,Cichlidae,benthopelagic,40,SL,2.5,introduced,Turkana,Africa,
Coregonus,alpenae,Salmonidae,benthopelagic,45.6,TL,3.4,native,Great Lakes,North America,
Coregonus,artedi,Salmonidae,pelagic-neritic,57,TL,3.3,native,Great Lakes,North America,
Coregonus,clupeaformis,Salmonidae,benthopelagic,100,TL,3.2,native,Great Lakes,North America,
Coregonus,hoyi,Salmonidae,pelagic,37,TL,3.3,native,Great Lakes,North America,
Coregonus,kiyi,Salmonidae,pelagic,35,TL,3.5,native,Great Lakes,North America,
Coregonus,nigripinnis,Salmonidae,demersal,39,TL,3.3,native,Great Lakes,North America,
Coregonus,reighardi,Salmonidae,demersal,36,TL,3.4,native,Great Lakes,North America,
Coregonus,zenithicus,Salmonidae,demersal,40,TL,3.3,native,Great Lakes,North America,
Corematodus,shiranus,Cichlidae,benthopelagic,27,TL,4.4,endemic,Malawi,Africa,
Corematodus,taeniatus,Cichlidae,benthopelagic,19,TL,4.4,endemic,Malawi,Africa,
Cottus,bairdii,Cottidae,demersal,15,TL,3.3,native,Great Lakes,North America,
Cottus,cognatus,Cottidae,demersal,12.1,TL,3.4,native,Great Lakes,North America,
Cottus,ricei,Cottidae,demersal,13.4,TL,3,native,Great Lakes,North America,
Couesius,plumbeus,Leuciscidae,demersal,23,TL,3.4,native,Great Lakes,North America,
Ctenopharyngodon,idella,Xenocyprididae,benthopelagic,150,TL,2,introduced,Great Lakes,North America,
Ctenopharynx,intermedius,Cichlidae,benthopelagic,21,TL,3.4,native,Malawi,Africa,in mouth
Ctenopharynx,nitidus,Cichlidae,benthopelagic,13.9,TL,3.5,endemic,Malawi,Africa,
Ctenopharynx,pictus,Cichlidae,benthopelagic,12.6,TL,3,endemic,Malawi,Africa,
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Tanganyika,Africa,
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Victoria,Africa,
Ctenopoma,muriei,Anabantidae,benthopelagic,7,SL,3,native,Edward,Africa,
Culaea,inconstans,Gasterosteidae,demersal,8.7,TL,3.2,native,Great Lakes,North America,
Cunningtonia,longiventralis,Cichlidae,benthopelagic,14,TL,3.4,endemic,Tanganyika,Africa,
Cyathochromis,obliquidens,Cichlidae,benthopelagic,15,TL,2,native,Malawi,Africa,
Cyathopharynx,furcifer,Cichlidae,benthopelagic,21,TL,3.4,endemic,Tanganyika,Africa,
Cynotilapia,afra,Cichlidae,benthopelagic,10.1,SL,3.4,endemic,Malawi,Africa,
Cynotilapia,aurifrons,Cichlidae,benthopelagic,7.3,SL,3.4,endemic,Malawi,Africa,
Cynotilapia,axelrodi,Cichlidae,benthopelagic,7.7,SL,3.4,endemic,Malawi,Africa,
Cynotilapia,chilundu,Cichlidae,benthopelagic,8.3,SL,3.4,endemic,Malawi,Africa,
Cynotilapia,zebroides,Cichlidae,benthopelagic,9.3,SL,3.4,endemic,Malawi,Africa,
Cyphomyrus,discorhynchus,Mormyridae,demersal,31,SL,3.2,native,Tanganyika,Africa,
Cyphomyrus,grahami,Mormyridae,benthopelagic,25,SL,3.2,native,Victoria,Africa,
Cyphomyrus,discorhynchus,Mormyridae,demersal,31,SL,3.2,native,Malawi,Africa,
Cyphotilapia,frontosa,Cichlidae,benthopelagic,33,TL,2.9,endemic,Tanganyika,Africa,
Cyphotilapia,gibberosa,Cichlidae,benthopelagic,21,SL,3.5,endemic,Tanganyika,Africa,
Cyprichromis,coloratus,Cichlidae,pelagic,10.3,SL,3.5,endemic,Tanganyika,Africa,
Cyprichromis,leptosoma,Cichlidae,benthopelagic,11,TL,3.5,endemic,Tanganyika,Africa,
Cyprichromis,microlepidotus,Cichlidae,benthopelagic,11,TL,3.5,endemic,Tanganyika,Africa,
